meeting_key,session_key,location,date_start,date_end,session_type,session_name,country_key,country_code,country_name,circuit_key,circuit_short_name,gmt_offset,year
1140,9222,Sakhir,2023-02-23T07:00:00+00:00,2023-02-23T16:30:00+00:00,Practice,Practice 1,36,BRN,Bahrain,63,Sakhir,03:00:00,2023
1140,7763,Sakhir,2023-02-24T07:00:00+00:00,2023-02-24T16:30:00+00:00,Practice,Practice 2,36,BRN,Bahrain,63,Sakhir,03:00:00,2023
1140,7764,Sakhir,2023-02-25T07:00:00+00:00,2023-02-25T16:30:00+00:00,Practice,Practice 3,36,BRN,Bahrain,63,Sakhir,03:00:00,2023
1141,7765,Sakhir,2023-03-03T11:30:00+00:00,2023-03-03T12:30:00+00:00,Practice,Practice 1,36,BRN,Bahrain,63,Sakhir,03:00:00,2023
1141,7766,Sakhir,2023-03-03T15:00:00+00:00,2023-03-03T16:00:00+00:00,Practice,Practice 2,36,BRN,Bahrain,63,Sakhir,03:00:00,2023
1141,7767,Sakhir,2023-03-04T11:30:00+00:00,2023-03-04T12:30:00+00:00,Practice,Practice 3,36,BRN,Bahrain,63,Sakhir,03:00:00,2023
1141,7768,Sakhir,2023-03-04T15:00:00+00:00,2023-03-04T16:00:00+00:00,Qualifying,Qualifying,36,BRN,Bahrain,63,Sakhir,03:00:00,2023
1141,7953,Sakhir,2023-03-05T15:00:00+00:00,2023-03-05T17:00:00+00:00,Race,Race,36,BRN,Bahrain,63,Sakhir,03:00:00,2023
1142,7772,Jeddah,2023-03-17T13:30:00+00:00,2023-03-17T14:30:00+00:00,Practice,Practice 1,153,KSA,Saudi Arabia,149,Jeddah,03:00:00,2023
1142,7773,Jeddah,2023-03-17T17:00:00+00:00,2023-03-17T18:00:00+00:00,Practice,Practice 2,153,KSA,Saudi Arabia,149,Jeddah,03:00:00,2023
1142,7774,Jeddah,2023-03-18T13:30:00+00:00,2023-03-18T14:30:00+00:00,Practice,Practice 3,153,KSA,Saudi Arabia,149,Jeddah,03:00:00,2023
1142,7775,Jeddah,2023-03-18T17:00:00+00:00,2023-03-18T18:00:00+00:00,Qualifying,Qualifying,153,KSA,Saudi Arabia,149,Jeddah,03:00:00,2023
1142,7779,Jeddah,2023-03-19T17:00:00+00:00,2023-03-19T19:00:00+00:00,Race,Race,153,KSA,Saudi Arabia,149,Jeddah,03:00:00,2023
1143,7780,Melbourne,2023-03-31T01:30:00+00:00,2023-03-31T02:30:00+00:00,Practice,Practice 1,5,AUS,Australia,10,Melbourne,11:00:00,2023
1143,7781,Melbourne,2023-03-31T05:00:00+00:00,2023-03-31T06:00:00+00:00,Practice,Practice 2,5,AUS,Australia,10,Melbourne,11:00:00,2023
1143,7782,Melbourne,2023-04-01T01:30:00+00:00,2023-04-01T02:30:00+00:00,Practice,Practice 3,5,AUS,Australia,10,Melbourne,11:00:00,2023
1143,7783,Melbourne,2023-04-01T05:00:00+00:00,2023-04-01T06:00:00+00:00,Qualifying,Qualifying,5,AUS,Australia,10,Melbourne,11:00:00,2023
1143,7787,Melbourne,2023-04-02T05:00:00+00:00,2023-04-02T07:00:00+00:00,Race,Race,5,AUS,Australia,10,Melbourne,10:00:00,2023
1207,9063,Baku,2023-04-28T09:30:00+00:00,2023-04-28T10:30:00+00:00,Practice,Practice 1,30,AZE,Azerbaijan,144,Baku,04:00:00,2023
1207,9064,Baku,2023-04-28T13:00:00+00:00,2023-04-28T14:00:00+00:00,Qualifying,Qualifying,30,AZE,Azerbaijan,144,Baku,04:00:00,2023
1207,9278,Baku,2023-04-29T08:30:00+00:00,2023-04-29T09:14:00+00:00,Qualifying,Sprint Shootout,30,AZE,Azerbaijan,144,Baku,04:00:00,2023
1207,9069,Baku,2023-04-29T13:30:00+00:00,2023-04-29T14:00:00+00:00,Race,Sprint,30,AZE,Azerbaijan,144,Baku,04:00:00,2023
1207,9070,Baku,2023-04-30T11:00:00+00:00,2023-04-30T13:00:00+00:00,Race,Race,30,AZE,Azerbaijan,144,Baku,04:00:00,2023
1208,9071,Miami,2023-05-05T18:00:00+00:00,2023-05-05T19:00:00+00:00,Practice,Practice 1,19,USA,United States,151,Miami,-04:00:00,2023
1208,9072,Miami,2023-05-05T21:30:00+00:00,2023-05-05T22:30:00+00:00,Practice,Practice 2,19,USA,United States,151,Miami,-04:00:00,2023
1208,9073,Miami,2023-05-06T16:30:00+00:00,2023-05-06T17:30:00+00:00,Practice,Practice 3,19,USA,United States,151,Miami,-04:00:00,2023
1208,9074,Miami,2023-05-06T20:00:00+00:00,2023-05-06T21:00:00+00:00,Qualifying,Qualifying,19,USA,United States,151,Miami,-04:00:00,2023
1208,9078,Miami,2023-05-07T19:30:00+00:00,2023-05-07T21:30:00+00:00,Race,Race,19,USA,United States,151,Miami,-04:00:00,2023
1210,9087,Monaco,2023-05-26T11:30:00+00:00,2023-05-26T12:30:00+00:00,Practice,Practice 1,114,MON,Monaco,22,Monte Carlo,02:00:00,2023
1210,9088,Monaco,2023-05-26T15:00:00+00:00,2023-05-26T16:00:00+00:00,Practice,Practice 2,114,MON,Monaco,22,Monte Carlo,02:00:00,2023
1210,9089,Monaco,2023-05-27T10:30:00+00:00,2023-05-27T11:30:00+00:00,Practice,Practice 3,114,MON,Monaco,22,Monte Carlo,02:00:00,2023
